feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
Price_Differential_Ratio_MomentumAccelerating,0.010553045982367433,0.10780216156460384,71,0.0003061779246389249,0.005416084983646128,592.0,0.10780216156460384
Price_Differential_Ratio_Diff_5d,0.012971021308440748,0.10525932989114714,71,0.015521944700572866,0.21067815899393955,315.0,0.10525932989114714
Price_Differential_Ratio_LogScale_Minmax_50d,0.01288387859426789,0.10391400891936223,71,0.01270526955905408,0.19043792829764053,502.0,0.10391400891936223
Price_Differential_Ratio_PctChange_5d,-0.012761922276559864,-0.1035741741986563,71,-0.015576101913205987,-0.21103864093517855,407.0,0.1035741741986563
Price_Differential_Ratio_LogDiff_5d,0.012756387678100533,0.10352859655647931,71,0.015576405079693247,0.21104250424264964,179.0,0.10352859655647931
High_Close,-0.017479208576734562,-0.10244154971599147,71,0.00478000078057899,0.04522011653015497,294.0,0.10244154971599147
liquidity_score,0.012630643749851083,0.10142092817967112,71,0.013946394401617717,0.26902158858751124,249.0,0.10142092817967112
VWAP%,0.01826189325413349,0.10141013960831241,71,0.005571128769689821,0.03710431827727411,504.0,0.10141013960831241
gap_percentage,-0.01845588327516148,-0.10130949830229999,71,-0.0016906417258030165,-0.01252478550291869,188.0,0.10130949830229999
gap_in_atr_terms,-0.01817001865946142,-0.10089307178348618,71,-0.0014898816873589783,-0.011747097653179163,333.0,0.10089307178348618
corr_QQQ,0.02017571204988176,0.10079437694178028,71,-0.008117346715006378,-0.039017323482956036,136.0,0.10079437694178028
beta_QQQ,0.02009794985277729,0.09933534453803851,71,-0.010909096653183964,-0.05200938926830807,121.0,0.09933534453803851
mp_d4_b185_sym_trace,-0.014462537718360138,-0.09860622660157088,71,-0.01429703676920424,-0.15052673839441333,,0.09860622660157088
corr_IWM,0.017901459275566595,0.09789303057686595,71,-0.009803593112232153,-0.04591868353239064,33.0,0.09789303057686595
cv_20d_regime_low,-0.010532469021696059,-0.09768403469191364,71,-0.004909019090448528,-0.09505984907233693,558.0,0.09768403469191364
14ma%,0.017377100424153743,0.09708901950837637,71,0.00804667826964146,0.05339432741489654,341.0,0.09708901950837637
corr_SPY,0.01848935345316471,0.09705808628154218,71,-0.011746743271859292,-0.05633000864064449,111.0,0.09705808628154218
cv_20d_regime_high,-0.011978997682407412,-0.09686457121362722,71,-0.003270199850674729,-0.04458907619017974,560.0,0.09686457121362722
G_Price_Volatility_Trend_Measure,-0.012510630871218283,-0.09679166908658292,71,-0.008033103406184698,-0.056852058613751325,222.0,0.09679166908658292
mp_d4_b291_sym_top_left,-0.011838824015027956,-0.09677672587878358,71,-0.02865033557122213,-0.26806335308932316,,0.09677672587878358
beta_SPY,0.0182772638526835,0.09549734247090856,71,-0.015491327034247269,-0.07187079806789984,144.0,0.09549734247090856
G_High_Price_Momentum_Indicator,-0.013665036291073733,-0.094562620669302,71,-0.00854292429866914,-0.07514270537118375,440.0,0.094562620669302
G_Log_Scaled_Price_Ratio,-0.013665036291073733,-0.094562620669302,71,-0.00854305530812569,-0.0751439680092526,250.0,0.094562620669302
trend_direction_10d,0.014533727847764893,0.09321733666035134,71,0.00623429667814622,0.050622189104205115,557.0,0.09321733666035134
CID_Mean,-0.011795773903682078,-0.09240509034971911,71,-0.014685699040146853,-0.156095852141496,245.0,0.09240509034971911
emd_features_IMF_2_Std,-0.012143671641497378,-0.09167034623034981,71,-0.013884350182037448,-0.1546575971219116,460.0,0.09167034623034981
mp_d4_b477_skew_trace,0.013963188980927863,0.09135306915321921,71,0.00802412185734605,0.07664240450848754,,0.09135306915321921
CID_SD,-0.011682846768593097,-0.09122079457672677,71,-0.014519718330678626,-0.15510024126833752,223.0,0.09122079457672677
stress_vol_v7,-0.011675695164452113,-0.09049299966894847,71,0.0021775155410269317,0.016221057712216453,210.0,0.09049299966894847
time_reversal_asymmetry,-0.009906296648969599,-0.08904821678043454,71,0.009740341948500984,0.16663113018718034,467.0,0.08904821678043454
beta_IWM,0.016442504174232604,0.08734740737771274,71,-0.012946410498136034,-0.058713739321095706,98.0,0.08734740737771274
HC_Ratio_norm,0.01172512269030437,0.07815257826280662,71,0.006378347267458668,0.06481719247726764,212.0,0.07815257826280662
High_Close_Ratio_norm,0.01172512269030437,0.07815257826280662,71,0.006378347267458668,0.06481719247726764,405.0,0.07815257826280662
rapid_price_change_zscore,-0.011525007356241219,-0.07793668898036779,71,0.0015166303329080134,0.011436351600303648,184.0,0.07793668898036779
cv_50d,0.009861810114536403,0.07717915734492109,71,0.0010608763640049216,0.008144073843387176,199.0,0.07717915734492109
G_Logarithmic_Trend_Detector,-0.012113140390258325,-0.07706941434872991,71,-0.006865787701340379,-0.05053704456969097,428.0,0.07706941434872991
emd_features_IMF_1_Std,-0.010219529140214085,-0.07669180546502427,71,-0.014132073218213725,-0.15552201241502928,447.0,0.07669180546502427
trend_consistency_10d,0.012495408441390769,0.07630263809591178,71,0.005875134975098105,0.05178166700361991,538.0,0.07630263809591178
direction_flipper_count_10,0.012495408441390769,0.07630263809591178,71,0.005875134975098105,0.05178166700361991,546.0,0.07630263809591178
mp_d5_b39_sym_trace,-0.010907551182707148,-0.07624265637212845,71,-0.014452130361650266,-0.1416631326929272,,0.07624265637212845
Rolling_Std_28,0.009789074123756278,0.07412606227201664,71,-0.0043408151110265695,-0.04460924714365522,469.0,0.07412606227201664
MA_200,-0.009005411681370618,-0.07340987882117149,71,-0.008280085561839892,-0.11239050937793728,446.0,0.07340987882117149
hammer_pattern,-0.01020960689621919,-0.07168962231415453,71,-0.0046234831870788015,-0.05455097954980482,569.0,0.07168962231415453
G_Price_Open_Ratio_Indicator,0.00996317261978909,0.07163847649708904,71,0.013875969370861215,0.11652231490094578,302.0,0.07163847649708904
momentum_score,0.011936327909956912,0.07150163350599649,71,0.010704635515328248,0.08525897198812867,451.0,0.07150163350599649
Realized_Vol_10d,0.008066437583880466,0.06982117020637978,71,0.0037360672963118523,0.031183772888954613,276.0,0.06982117020637978
